iso3,crisis_2022,crisis_2023,protracted_crisis_2022
AFG,TRUE,TRUE,TRUE
AGO,TRUE,TRUE,TRUE
BDI,TRUE,TRUE,TRUE
BFA,TRUE,TRUE,TRUE
BGD,TRUE,TRUE,TRUE
CAF,TRUE,TRUE,TRUE
CMR,TRUE,TRUE,TRUE
COD,TRUE,TRUE,TRUE
COG,TRUE,TRUE,TRUE
COL,TRUE,TRUE,TRUE
CUB,TRUE,FALSE,FALSE
EGY,TRUE,TRUE,TRUE
ERI,TRUE,TRUE,FALSE
ETH,TRUE,TRUE,TRUE
GTM,TRUE,TRUE,FALSE
HND,TRUE,TRUE,FALSE
HTI,TRUE,TRUE,TRUE
HUN,TRUE,TRUE,FALSE
IRN,TRUE,TRUE,FALSE
IRQ,TRUE,TRUE,TRUE
KEN,TRUE,TRUE,TRUE
LBN,TRUE,TRUE,TRUE
LBY,TRUE,TRUE,TRUE
LKA,TRUE,TRUE,FALSE
MDG,TRUE,TRUE,FALSE
MLI,TRUE,TRUE,TRUE
MMR,TRUE,TRUE,TRUE
MOZ,TRUE,TRUE,FALSE
MWI,TRUE,TRUE,FALSE
NER,TRUE,TRUE,TRUE
NGA,TRUE,TRUE,TRUE
PAK,TRUE,TRUE,TRUE
PER,TRUE,TRUE,TRUE
PHL,TRUE,FALSE,FALSE
POL,TRUE,TRUE,FALSE
PRK,TRUE,TRUE,FALSE
PSE,TRUE,TRUE,TRUE
ROU,TRUE,TRUE,FALSE
SDN,TRUE,TRUE,TRUE
SLV,TRUE,TRUE,FALSE
SOM,TRUE,TRUE,TRUE
SSD,TRUE,TRUE,TRUE
SYR,TRUE,TRUE,TRUE
TCD,TRUE,TRUE,TRUE
TUR,TRUE,TRUE,TRUE
TZA,TRUE,TRUE,TRUE
UGA,TRUE,TRUE,TRUE
UKR,TRUE,TRUE,TRUE
VEN,TRUE,TRUE,TRUE
YEM,TRUE,TRUE,TRUE
ZMB,TRUE,TRUE,TRUE
ZWE,TRUE,TRUE,FALSE
