iso3,year,3,4,5,3+
AFG,2022,13036512,6593330,20324,19650166
AGO,2021,1167339,416659,0,1583998
BDI,2022,1353231,50637,0,1403868
BEN,2022,181584,0,0,181584
BFA,2022,2196110,436393,0,2632503
CAF,2023,2183559,806787,0,2990346
CIV,2022,866812,0,0,866812
CMR,2022,3356781,240233,0,3597014
COD,2023,21707247,2813093,0,24520340
CPV,2022,43003,3090,0,46093
DJI,2022,179778,12391,0,192169
DOM,2023,1159547,53651,0,1213198
ETH,2021,12072237,4331216,352896,16756349
GHA,2022,794119,28983,0,823102
GIN,2022,739384,0,0,739384
GMB,2022,201062,6604,0,207666
GNB,2022,112034,0,0,112034
GTM,2022,4048534,552454,0,4600988
HND,2022,2291044,353193,0,2644237
HTI,2023,3038489,1653841,19206,4711536
KEN,2022,3142734,1211811,0,4354545
LAC,2022,126420,21869,0,148289
LBN,2023,1905700,353700,0,2259400
LBR,2022,365748,7483,0,373231
LSO,2022,311868,25643,0,337511
MDG,2023,1779639,284667,0,2064306
MLI,2022,1680684,156560,0,1837244
MOZ,2022,1419827,23553,0,1443380
MRT,2022,627317,33757,0,661074
MWI,2022,3822502,0,0,3822502
NAM,2022,631699,118616,0,750315
NER,2022,3337933,300050,0,3637983
NGA,2022,17347080,616288,13550,17976918
PAK,2022,6027991,2591244,0,8619235
SDN,2022,8549911,3103035,0,11652946
SEN,2022,846467,29671,0,876138
SLE,2022,1453325,0,0,1453325
SLV,2022,845945,60878,0,906823
SOM,2023,4818208,2732380,727097,8277685
SSD,2023,4821272,2900752,43810,7765834
SWZ,2022,286260,49543,0,335803
TCD,2022,1593834,143413,0,1737247
TGO,2022,533348,35313,0,568661
TZA,2023,990096,0,0,990096
UGA,2022,1544035,252745,0,1796780
YEM,2022,11712000,7140500,161000,19013500
ZAF,2021,9598772,2197175,0,11795947
ZMB,2022,1952126,0,0,1952126
ZWE,2021,2611638,768595,0,3380233
